sim,i,j,fonte_i,fonte_j,dia_i,dia_j,titulo_i,titulo_j
0.9952622056007385,378,1069,Diário da Região/São José do Rio Preto,DCI Online,2016-09-22,2016-09-22,Mercedes-Benz anuncia pista de testes no Brasil,Mercedes-Benz anuncia pista de testes no Brasil
1.0,378,2192,Diário da Região/São José do Rio Preto,Guarulhos Web,2016-09-22,2016-09-22,Mercedes-Benz anuncia pista de testes no Brasil,Mercedes-Benz anuncia pista de testes no Brasil
0.9952622056007385,1069,2192,DCI Online,Guarulhos Web,2016-09-22,2016-09-22,Mercedes-Benz anuncia pista de testes no Brasil,Mercedes-Benz anuncia pista de testes no Brasil
1.0,629,986,Guarulhos Web,Diário da Região/São José do Rio Preto,2017-09-26,2017-09-26,Toyota anuncia investimento de R$ 1 bi para a produção de novo modelo no País,Toyota anuncia investimento de R$ 1 bi para a produção de novo modelo no País
0.9470884799957275,629,1325,Guarulhos Web,Folha de S. Paulo,2017-09-26,2017-09-25,Toyota anuncia investimento de R$ 1 bi para a produção de novo modelo no País,"Toyota anuncia investimento de R$ 1,6 bilhão para produzir carro nacional"
0.9470884799957275,986,1325,Diário da Região/São José do Rio Preto,Folha de S. Paulo,2017-09-26,2017-09-25,Toyota anuncia investimento de R$ 1 bi para a produção de novo modelo no País,"Toyota anuncia investimento de R$ 1,6 bilhão para produzir carro nacional"
0.958577036857605,659,1311,Jornal Cana,Portal CanaOnline,2023-07-04,2021-06-15,Cocal investirá R$ 216 milhões na construção de segunda planta de biogás,Geo Energética amplia aposta no biogás da agroindústria
0.9504474401473999,659,1965,Jornal Cana,Valor Econômico,2023-07-04,2018-08-23,Cocal investirá R$ 216 milhões na construção de segunda planta de biogás,Nada se perde nos processos da Raízen
0.9358559846878052,1311,1965,Portal CanaOnline,Valor Econômico,2021-06-15,2018-08-23,Geo Energética amplia aposta no biogás da agroindústria,Nada se perde nos processos da Raízen
0.9741371870040894,686,1284,A Tribuna,Diário da Região/São José do Rio Preto,2017-07-27,2017-07-27,"Com explosão de hamburguerias, McDonald's abre 1ª loja digital",McDonald's abre 1ª loja digital
